,query_id,query_res,relevant,precision,recall
0,1,2319,False,,
1,1,1938,False,,
2,1,1410,True,0.3333333333333333,0.2
3,1,1519,False,,
4,1,2629,False,,
5,1,1161,False,,
6,1,1605,True,0.2857142857142857,0.4
7,1,1657,False,,
8,1,2371,False,,
9,1,2424,False,,
10,1,1523,False,,
11,1,1071,False,,
12,1,2218,False,,
13,1,1168,False,,
14,1,1752,False,,
15,1,971,False,,
16,1,2379,False,,
17,1,1844,False,,
18,1,3127,False,,
19,1,1908,False,,
20,1,1440,False,,
21,1,1827,False,,
22,1,2380,False,,
23,1,1591,False,,
24,1,1572,True,0.12,0.6
25,1,3048,False,,
26,1,2344,False,,
27,1,2439,False,,
28,1,1680,False,,
29,1,2219,False,,
30,1,1391,False,,
31,1,1698,False,,
32,1,1462,False,,
33,1,2740,False,,
34,1,2317,False,,
35,1,1315,False,,
36,1,3069,False,,
37,1,1464,False,,
38,1,1544,False,,
39,1,3025,False,,
40,1,1755,False,,
41,1,2796,False,,
42,1,2948,False,,
43,1,2541,False,,
44,1,3174,False,,
45,1,2632,False,,
46,1,3023,False,,
47,1,1033,False,,
48,1,3068,False,,
49,1,2500,False,,
50,1,2378,False,,
51,1,98,False,,
52,1,1647,False,,
53,1,2867,False,,
54,1,1069,False,,
55,1,1046,False,,
56,1,1753,False,,
57,1,1712,False,,
58,1,2312,False,,
59,1,2151,False,,
60,1,2917,False,,
61,1,1685,False,,
62,1,1506,False,,
63,1,1264,False,,
64,1,2947,False,,
65,1,3112,False,,
66,1,414,False,,
67,1,1163,False,,
68,1,1960,False,,
69,1,1225,False,,
70,1,1179,False,,
71,1,1236,False,,
72,1,2951,False,,
73,1,2501,False,,
74,1,1542,False,,
75,1,1393,False,,
76,1,698,False,,
77,1,1854,False,,
78,1,2092,False,,
79,1,2920,False,,
80,1,2868,False,,
81,1,1304,False,,
82,1,1697,False,,
83,1,2054,False,,
84,1,585,False,,
85,1,637,False,,
86,1,2080,False,,
87,1,2681,False,,
88,1,252,False,,
89,1,1885,False,,
90,1,1195,False,,
91,1,1534,False,,
92,1,2764,False,,
93,1,2372,False,,
94,1,1487,False,,
95,1,2557,False,,
96,1,1280,False,,
97,1,2535,False,,
98,1,1769,False,,
99,1,1341,False,,
100,1,2522,False,,
101,1,1226,False,,
102,1,2390,False,,
103,1,2357,False,,
104,1,1590,False,,
105,1,2950,False,,
106,1,271,False,,
107,1,438,False,,
108,1,2365,False,,
109,1,1472,False,,
110,1,2536,False,,
111,1,2597,False,,
112,1,2358,True,0.035398230088495575,0.8
113,1,2989,False,,
114,1,1515,False,,
115,1,3065,False,,
116,1,2313,False,,
117,1,1417,False,,
118,1,2095,False,,
119,1,3190,False,,
120,1,1247,False,,
121,1,1408,False,,
122,1,1518,False,,
123,1,2841,False,,
124,1,1828,False,,
125,1,46,False,,
126,1,1767,False,,
127,1,3082,False,,
128,1,2370,False,,
129,1,617,False,,
130,1,3089,False,,
131,1,3137,False,,
132,1,696,False,,
133,1,2003,False,,
134,1,2526,False,,
135,1,2519,False,,
136,1,1173,False,,
137,1,1571,False,,
138,1,2036,False,,
139,1,2984,False,,
140,1,1526,False,,
